20,20,18,20,24,1,16,0,10,8,8
19,30,29,32,24,1,47,0,10,8,8
19,29,28,27,24,1,17,0,10,8,9
19,29,31,29,24,1,0,0,10,8,8
21,29,21,21,24,1,0,0,10,8,8
22,29,25,26,23,1,0,12,11,9,8
0,1,17,47,0,1,0,10,8,8,8
0,4,3,3,3,2,0,10,8,8,8
46,1,47,0,0,35,0,13,15,8,9
0,1,0,0,0,33,34,34,13,14,14
0,1,17,44,33,33,33,34,0,0,0
0,4,3,3,33,33,33,3,3,5,0
35,1,0,44,33,33,33,34,0,1,45
42,42,42,42,0,33,34,34,0,1,0
41,41,41,41,37,37,37,37,17,1,0
41,41,41,41,3,3,3,3,3,6,0
41,41,41,41,36,36,36,36,36,1,0
41,41,41,41,0,0,38,38,38,39,38
41,41,41,41,0,0,38,38,38,40,38
43,41,41,41,0,0,38,38,38,40,38
