62,68,67,67,69,67,67,67,66,66,66
68,79,68,67,69,67,64,67,66,66,66
67,67,67,67,69,67,67,67,66,66,66
67,71,67,73,69,67,62,67,66,66,66
67,69,72,72,72,67,67,67,66,66,66
67,69,67,67,59,67,67,67,66,66,66
60,69,67,67,67,67,61,67,66,66,66
67,69,67,67,67,67,67,67,66,66,66
67,69,74,67,78,78,78,78,57,57,57
65,69,67,71,70,70,70,70,56,56,56
67,69,65,71,77,77,77,77,58,58,58
65,69,67,71,67,67,67,67,66,66,66
72,72,61,71,67,67,67,67,66,66,66
69,67,67,71,67,67,67,67,66,66,66
69,67,67,71,67,64,67,67,66,66,66
69,67,67,71,67,67,67,67,66,66,66
69,75,67,71,67,67,51,50,66,66,66
70,70,70,70,70,48,67,54,66,66,66
67,67,67,67,67,61,53,52,66,66,66
67,67,60,67,67,67,67,67,66,66,66
